System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,,,HTECH-ARCO2-R,N13102001306,HorizonTech Arco II Rainbow,HTECH-ARCO2-R,1,$5.00 ,Yes,HorizonTech,Yes,,,5,Item,26.3,Elego,Dead Stock,DS Tanks,,,,,,,,
2.1E+11,2.1E+11,,RELVA-RDA-CAP-B,505,Reload Vapor Reload RDA Color Cap Blue,,7,$4.00 ,Yes,Reload Vapor,Yes,,,4,Item,18,Screen Printing,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,2.1E+11,,RELVA-RDA-CAP-P,512,Reload Vapor Reload RDA Color Cap Purple,,9,$4.00 ,Yes,Reload Vapor,Yes,,,4,Item,18,Screen Printing,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,2.1E+11,2.1E+11,VDYVAP-BONZ-R,6.97083E+12,Vandy Vape Bonza RDA Rainbow,VDYVAP-BONZ-R,1,$10.00 ,Yes,Vandy Vape,Yes,,,10,Item,22.15,Elego,Dead Stock,Rebuildable Atomizers,RDA,,,,,,,
2.1E+11,2.1E+11,,WAKE-RTA-GOLD,8.18487E+11,Wake RTA Gold,,1,$15.00 ,Yes,Wake Mod Co.,Yes,,,15,Item,31.7,Screen Printing,Dead Stock,Rebuildable Atomizers,RTA,,,,,,,
2.1E+11,2.1E+11,,DOT-24CAP-R,1199,DOTMOD Petri 24mm Cap Red,DOT-24CAP-R,8,$2.00 ,Yes,DOTMOD,Yes,,,2,Item,35.43,DOTMOD,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,2.1E+11,,DOT-24CAP-G,1205,DOTMOD Petri 24mm Cap Gold,DOT-24CAP-G,4,$2.00 ,Yes,DOTMOD,Yes,,,2,Item,35.43,DOTMOD,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,2.1E+11,,VDYVAP-SQBO- B,,Vandy Vape Pulse Replacement Bottle Black,VDYVAP-SQBO- B,1,$0.50 ,Yes,Vandy Vape,Yes,,,0.5,Item,2.75,Elego,Dead Stock,DS Misc,,,,,,,,
2.1E+11,2.1E+11,,VDYVAP-PUL-P-W,6.97083E+12,Vandy Vape Pulse Squonk panels White,VDYVAP-PUL-P-W,3,$0.99 ,Yes,Vandy Vape,Yes,,,0.99,Item,2.75,Elego,Dead Stock,DS Misc,,,,,,,,
2.1E+11,2.1E+11,,VDYVAP-PUL-P-P,6.97083E+12,Vandy Vape Pulse Squonk panels Purple,VDYVAP-PUL-P-P,2,$0.99 ,Yes,Vandy Vape,Yes,,,0.99,Item,2.75,Elego,Dead Stock,DS Misc,,,,,,,,
2.1E+11,2.1E+11,2.1E+11,MISC-V8-TWEEZR,,Vaper Twizer V8,MISC-TWEEZER-B,18,$2.99 ,Yes,flamingo+,Yes,,,2.99,Item,3.5,Elego,Vape Accessories,Rebuildable Tools,,,,,,,,
2.1E+11,1717,,DI5-CSMNT-YLW,1717,CSMNT Shawty Caps by DISTRICT F5VE Yellow,,16,$2.00 ,Yes,District F5VE,Yes,,,2,Item,17.5,Screen Printing,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,1724,,DI5-CSMNT-ORA,1724,CSMNT Shawty Caps by DISTRICT F5VE Orange,,15,$2.00 ,Yes,District F5VE,Yes,,,2,Item,17.5,Screen Printing,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,1731,,DI5-CSMNT-PUR,1731,CSMNT Shawty Caps by DISTRICT F5VE Purple,,14,$2.00 ,Yes,District F5VE,Yes,,,2,Item,17.5,Screen Printing,Dead Stock,RDA Caps,,,,,,,,
2.1E+11,1984,,UW-VALYR-G-5ML,,UWELL Valyrian Glass 5ml (Straight),UW-VALYR-G-5ML,94,$1.00 ,Yes,Uwell,Yes,,,1,Item,0.86,Elego,Dead Stock,DS Glass,,,,,,,,
